#ZRXPVERSION2206.235|*|ZRXPMODEStandard|*|ZRXPCREATORKisters ZRXP-Fileexporter|*|;
#TZMEZ|*|SANR2730010|*|SNAMEKöln|*|SWATERRhein|*|CNR10|*|CNAMEW|*|;
#CTYPEn-min-equi|*|CMW96|*|RTIMELVLhigh-resolution|*|CUNITcm|*|RINVAL-777|*|;
#RNR96|*|REXCHANGE2730010_KOELN_W_W_15_P|*|RTYPEmean values|*|RORPRProduktion|*|;
#LAYOUT(timestamp;value)|*|
20200101001500 423;
20200101003000 422;
20200101004500 420;
20200101010000 419;
20200101011500 419;
20200101013000 419;
20200101014500 418;
20200101020000 418;
20200101021500 418;
20200101023000 418;
20200101024500 418;
20200101030000 418;
20200101031500 418;
20200101033000 417;
20200101034500 415;
20200101040000 415;
20200101041500 415;
20200101043000 414;
20200101044500 414;
20200101050000 414;
20200101051500 414;
20200101053000 414;
20200101054500 413;
20200101060000 414;
20200101061500 411;
20200101063000 411;
20200101064500 411;
20200101070000 411;
20200101071500 411;
20200101073000 410;
20200101074500 410;
20200101080000 410;
20200101081500 410;
20200101083000 410;
20200101084500 408;
20200101090000 407;
20200101091500 407;
20200101093000 407;
20200101094500 406;
20200101100000 406;
20200101101500 406;
20200101103000 406;
20200101104500 406;
20200101110000 405;
20200101111500 404;
20200101113000 403;
20200101114500 403;
20200101120000 403;
20200101121500 403;
20200101123000 403;
20200101124500 402;
20200101130000 402;
20200101131500 402;
20200101133000 401;
20200101134500 400;
20200101140000 399;
20200101141500 399;
20200101143000 399;
20200101144500 399;
20200101150000 399;
20200101151500 399;
20200101153000 398;
20200101154500 398;
20200101160000 398;
20200101161500 398;
20200101163000 398;
20200101164500 398;
20200101170000 398;
20200101171500 395;
20200101173000 395;
20200101174500 395;
20200101180000 395;
20200101181500 395;
20200101183000 395;
20200101184500 394;
20200101190000 394;
20200101191500 394;
20200101193000 394;
20200101194500 394;
20200101200000 394;
20200101201500 394;
20200101203000 392;
20200101204500 391;
20200101210000 391;
20200101211500 390;
20200101213000 391;
20200101214500 390;
20200101220000 390;
20200101221500 390;
20200101223000 390;
20200101224500 390;
20200101230000 390;
20200101231500 390;
20200101233000 388;
20200101234500 387;
20200101240000 387;
20200102001500 387;
20200102003000 387;
20200102004500 387;
20200102010000 386;
20200102011500 386;
20200102013000 386;
20200102014500 386;
20200102020000 386;
20200102021500 385;
20200102023000 383;
20200102024500 383;
20200102030000 383;
20200102031500 383;
20200102033000 382;
20200102034500 382;
20200102040000 382;
20200102041500 382;
20200102043000 382;
20200102044500 382;
20200102050000 380;
20200102051500 379;
20200102053000 379;
20200102054500 379;
20200102060000 379;
20200102061500 379;
20200102063000 377;
20200102064500 377;
20200102070000 375;
20200102071500 375;
20200102073000 375;
20200102074500 375;
20200102080000 374;
20200102081500 374;
20200102083000 374;
20200102084500 374;
20200102090000 372;
20200102091500 371;
20200102093000 370;
20200102094500 370;
20200102100000 370;
20200102101500 370;
20200102103000 369;
20200102104500 367;
20200102110000 366;
20200102111500 366;
20200102113000 366;
20200102114500 366;
20200102120000 365;
20200102121500 363;
20200102123000 363;
20200102124500 363;
20200102130000 363;
20200102131500 362;
20200102133000 361;
20200102134500 359;
20200102140000 359;
20200102141500 358;
20200102143000 358;
20200102144500 358;
20200102150000 358;
20200102151500 358;
20200102153000 358;
20200102154500 358;
20200102160000 356;
20200102161500 355;
20200102163000 355;
20200102164500 355;
20200102170000 355;
20200102171500 355;
20200102173000 355;
20200102174500 355;
20200102180000 354;
20200102181500 354;
20200102183000 355;
20200102184500 354;
20200102190000 354;
20200102191500 354;
20200102193000 354;
20200102194500 354;
20200102200000 354;
20200102201500 354;
20200102203000 354;
20200102204500 354;
20200102210000 354;
20200102211500 354;
20200102213000 354;
20200102214500 354;
20200102220000 354;
20200102221500 354;
20200102223000 354;
20200102224500 354;
20200102230000 354;
20200102231500 354;
20200102233000 354;
20200102234500 354;
20200102240000 353;
20200103001500 351;
20200103003000 351;
20200103004500 351;
20200103010000 351;
20200103011500 351;
20200103013000 351;
20200103014500 351;
20200103020000 351;
20200103021500 351;
20200103023000 351;
20200103024500 351;
20200103030000 351;
20200103031500 351;
20200103033000 351;
20200103034500 351;
20200103040000 351;
20200103041500 351;
20200103043000 351;
20200103044500 351;
20200103050000 350;
20200103051500 350;
20200103053000 350;
20200103054500 350;
20200103060000 350;
20200103061500 350;
20200103063000 348;
20200103064500 347;
20200103070000 347;
20200103071500 347;
20200103073000 347;
20200103074500 347;
20200103080000 347;
20200103081500 347;
