"","Location","Date","Water.level..m.surface.level.","stationTyp"
"4769","TUNNELWEG","01.01.19",57.95,"Groundwater Well"
"4770","TUNNELWEG","02.01.19",57.94,"Groundwater Well"
"4771","TUNNELWEG","03.01.19",57.98,"Groundwater Well"
"4772","TUNNELWEG","04.01.19",57.99,"Groundwater Well"
"4773","TUNNELWEG","05.01.19",57.97,"Groundwater Well"
"4774","TUNNELWEG","06.01.19",57.95,"Groundwater Well"
"4775","TUNNELWEG","07.01.19",57.96,"Groundwater Well"
"4776","TUNNELWEG","08.01.19",57.89,"Groundwater Well"
"4777","TUNNELWEG","09.01.19",57.85,"Groundwater Well"
"4778","TUNNELWEG","10.01.19",57.88,"Groundwater Well"
"4779","TUNNELWEG","11.01.19",57.91,"Groundwater Well"
"4780","TUNNELWEG","12.01.19",57.9,"Groundwater Well"
"4781","TUNNELWEG","13.01.19",57.82,"Groundwater Well"
"4782","TUNNELWEG","14.01.19",57.76,"Groundwater Well"
"4783","TUNNELWEG","15.01.19",57.85,"Groundwater Well"
"4784","TUNNELWEG","16.01.19",57.83,"Groundwater Well"
"4785","TUNNELWEG","17.01.19",57.74,"Groundwater Well"
"4786","TUNNELWEG","18.01.19",57.79,"Groundwater Well"
"4787","TUNNELWEG","19.01.19",57.84,"Groundwater Well"
"4788","TUNNELWEG","20.01.19",57.8,"Groundwater Well"
"4789","TUNNELWEG","21.01.19",57.85,"Groundwater Well"
"4790","TUNNELWEG","22.01.19",57.84,"Groundwater Well"
"4791","TUNNELWEG","23.01.19",57.72,"Groundwater Well"
"4792","TUNNELWEG","24.01.19",57.74,"Groundwater Well"
"4793","TUNNELWEG","25.01.19",57.8,"Groundwater Well"
"4794","TUNNELWEG","26.01.19",57.79,"Groundwater Well"
"4795","TUNNELWEG","27.01.19",57.68,"Groundwater Well"
"4796","TUNNELWEG","28.01.19",57.63,"Groundwater Well"
"4797","TUNNELWEG","29.01.19",57.73,"Groundwater Well"
"4798","TUNNELWEG","30.01.19",57.67,"Groundwater Well"
"4799","TUNNELWEG","31.01.19",57.66,"Groundwater Well"
"4800","TUNNELWEG","01.02.19",57.62,"Groundwater Well"
"4801","TUNNELWEG","02.02.19",57.62,"Groundwater Well"
"4802","TUNNELWEG","03.02.19",57.74,"Groundwater Well"
"4803","TUNNELWEG","04.02.19",57.87,"Groundwater Well"
"4804","TUNNELWEG","05.02.19",57.87,"Groundwater Well"
"4805","TUNNELWEG","06.02.19",57.88,"Groundwater Well"
"4806","TUNNELWEG","07.02.19",57.81,"Groundwater Well"
"4807","TUNNELWEG","08.02.19",57.78,"Groundwater Well"
"4808","TUNNELWEG","09.02.19",57.71,"Groundwater Well"
"4809","TUNNELWEG","10.02.19",57.74,"Groundwater Well"
"4810","TUNNELWEG","11.02.19",57.7,"Groundwater Well"
"4811","TUNNELWEG","12.02.19",57.89,"Groundwater Well"
"4812","TUNNELWEG","13.02.19",57.94,"Groundwater Well"
"4813","TUNNELWEG","14.02.19",57.95,"Groundwater Well"
"4814","TUNNELWEG","15.02.19",57.93,"Groundwater Well"
"4815","TUNNELWEG","16.02.19",57.89,"Groundwater Well"
"4816","TUNNELWEG","17.02.19",57.88,"Groundwater Well"
"4817","TUNNELWEG","18.02.19",57.84,"Groundwater Well"
"4818","TUNNELWEG","19.02.19",57.82,"Groundwater Well"
"4819","TUNNELWEG","20.02.19",57.85,"Groundwater Well"
"4820","TUNNELWEG","21.02.19",57.88,"Groundwater Well"
"4821","TUNNELWEG","22.02.19",57.92,"Groundwater Well"
"4822","TUNNELWEG","23.02.19",57.97,"Groundwater Well"
"4823","TUNNELWEG","24.02.19",57.97,"Groundwater Well"
"4824","TUNNELWEG","25.02.19",57.97,"Groundwater Well"
"4825","TUNNELWEG","26.02.19",57.97,"Groundwater Well"
"4826","TUNNELWEG","27.02.19",57.94,"Groundwater Well"
"4827","TUNNELWEG","28.02.19",57.86,"Groundwater Well"
"4828","TUNNELWEG","01.03.19",57.82,"Groundwater Well"
"4829","TUNNELWEG","02.03.19",57.84,"Groundwater Well"
"4830","TUNNELWEG","03.03.19",57.8,"Groundwater Well"
"4831","TUNNELWEG","04.03.19",57.72,"Groundwater Well"
"4832","TUNNELWEG","05.03.19",57.72,"Groundwater Well"
"4833","TUNNELWEG","06.03.19",57.77,"Groundwater Well"
"4834","TUNNELWEG","07.03.19",57.67,"Groundwater Well"
"4835","TUNNELWEG","08.03.19",57.71,"Groundwater Well"
"4836","TUNNELWEG","09.03.19",57.78,"Groundwater Well"
"4837","TUNNELWEG","10.03.19",57.8,"Groundwater Well"
"4838","TUNNELWEG","11.03.19",57.79,"Groundwater Well"
"4839","TUNNELWEG","12.03.19",57.87,"Groundwater Well"
"4840","TUNNELWEG","13.03.19",57.74,"Groundwater Well"
"4841","TUNNELWEG","14.03.19",57.76,"Groundwater Well"
"4842","TUNNELWEG","15.03.19",57.74,"Groundwater Well"
"4843","TUNNELWEG","16.03.19",57.75,"Groundwater Well"
"4844","TUNNELWEG","17.03.19",57.7,"Groundwater Well"
"4845","TUNNELWEG","18.03.19",57.75,"Groundwater Well"
"4846","TUNNELWEG","19.03.19",57.85,"Groundwater Well"
"4847","TUNNELWEG","20.03.19",57.91,"Groundwater Well"
"4848","TUNNELWEG","21.03.19",57.93,"Groundwater Well"
"4849","TUNNELWEG","22.03.19",57.92,"Groundwater Well"
"4850","TUNNELWEG","23.03.19",57.89,"Groundwater Well"
"4851","TUNNELWEG","24.03.19",57.9,"Groundwater Well"
"4852","TUNNELWEG","25.03.19",57.87,"Groundwater Well"
"4853","TUNNELWEG","26.03.19",57.9,"Groundwater Well"
"4854","TUNNELWEG","27.03.19",57.92,"Groundwater Well"
"4855","TUNNELWEG","28.03.19",57.94,"Groundwater Well"
"4856","TUNNELWEG","29.03.19",57.94,"Groundwater Well"
"4857","TUNNELWEG","30.03.19",57.88,"Groundwater Well"
"4858","TUNNELWEG","31.03.19",57.85,"Groundwater Well"
"4859","TUNNELWEG","01.04.19",57.87,"Groundwater Well"
"4860","TUNNELWEG","02.04.19",57.81,"Groundwater Well"
"4861","TUNNELWEG","03.04.19",57.73,"Groundwater Well"
"4862","TUNNELWEG","04.04.19",57.7,"Groundwater Well"
"4863","TUNNELWEG","05.04.19",57.72,"Groundwater Well"
"4864","TUNNELWEG","06.04.19",57.73,"Groundwater Well"
"4865","TUNNELWEG","07.04.19",57.72,"Groundwater Well"
"4866","TUNNELWEG","08.04.19",57.74,"Groundwater Well"
"4867","TUNNELWEG","09.04.19",57.77,"Groundwater Well"
"4868","TUNNELWEG","10.04.19",57.77,"Groundwater Well"
"4869","TUNNELWEG","11.04.19",57.82,"Groundwater Well"
"4870","TUNNELWEG","12.04.19",57.86,"Groundwater Well"
"4871","TUNNELWEG","13.04.19",57.87,"Groundwater Well"
"4872","TUNNELWEG","14.04.19",57.86,"Groundwater Well"
"4873","TUNNELWEG","15.04.19",57.88,"Groundwater Well"
"4874","TUNNELWEG","16.04.19",57.83,"Groundwater Well"
"4875","TUNNELWEG","17.04.19",57.83,"Groundwater Well"
"4876","TUNNELWEG","18.04.19",57.86,"Groundwater Well"
"4877","TUNNELWEG","19.04.19",57.87,"Groundwater Well"
"4878","TUNNELWEG","20.04.19",57.9,"Groundwater Well"
"4879","TUNNELWEG","21.04.19",57.88,"Groundwater Well"
"4880","TUNNELWEG","22.04.19",57.81,"Groundwater Well"
"4881","TUNNELWEG","23.04.19",57.73,"Groundwater Well"
"4882","TUNNELWEG","24.04.19",57.68,"Groundwater Well"
"4883","TUNNELWEG","25.04.19",57.73,"Groundwater Well"
"4884","TUNNELWEG","26.04.19",57.76,"Groundwater Well"
"4885","TUNNELWEG","27.04.19",57.8,"Groundwater Well"
"4886","TUNNELWEG","28.04.19",57.81,"Groundwater Well"
"4887","TUNNELWEG","29.04.19",57.86,"Groundwater Well"
"4888","TUNNELWEG","30.04.19",57.87,"Groundwater Well"
"4889","TUNNELWEG","01.05.19",57.85,"Groundwater Well"
"4890","TUNNELWEG","02.05.19",57.81,"Groundwater Well"
"4891","TUNNELWEG","03.05.19",57.78,"Groundwater Well"
"4892","TUNNELWEG","04.05.19",57.78,"Groundwater Well"
"4893","TUNNELWEG","05.05.19",57.81,"Groundwater Well"
"4894","TUNNELWEG","06.05.19",57.86,"Groundwater Well"
"4895","TUNNELWEG","07.05.19",57.85,"Groundwater Well"
"4896","TUNNELWEG","08.05.19",57.79,"Groundwater Well"
"4897","TUNNELWEG","09.05.19",57.68,"Groundwater Well"
"4898","TUNNELWEG","10.05.19",57.72,"Groundwater Well"
"4899","TUNNELWEG","11.05.19",57.77,"Groundwater Well"
"4900","TUNNELWEG","12.05.19",57.86,"Groundwater Well"
"4901","TUNNELWEG","13.05.19",57.95,"Groundwater Well"
"4902","TUNNELWEG","14.05.19",57.95,"Groundwater Well"
"4903","TUNNELWEG","15.05.19",57.9,"Groundwater Well"
"4904","TUNNELWEG","16.05.19",57.86,"Groundwater Well"
"4905","TUNNELWEG","17.05.19",57.78,"Groundwater Well"
"4906","TUNNELWEG","18.05.19",57.74,"Groundwater Well"
"4907","TUNNELWEG","19.05.19",57.74,"Groundwater Well"
"4908","TUNNELWEG","20.05.19",57.74,"Groundwater Well"
"4909","TUNNELWEG","21.05.19",57.76,"Groundwater Well"
"4910","TUNNELWEG","22.05.19",57.81,"Groundwater Well"
"4911","TUNNELWEG","23.05.19",57.84,"Groundwater Well"
"4912","TUNNELWEG","24.05.19",57.81,"Groundwater Well"
"4913","TUNNELWEG","25.05.19",57.81,"Groundwater Well"
"4914","TUNNELWEG","26.05.19",57.82,"Groundwater Well"
"4915","TUNNELWEG","27.05.19",57.78,"Groundwater Well"
"4916","TUNNELWEG","28.05.19",57.75,"Groundwater Well"
"4917","TUNNELWEG","29.05.19",57.8,"Groundwater Well"
"4918","TUNNELWEG","30.05.19",57.85,"Groundwater Well"
"4919","TUNNELWEG","31.05.19",57.87,"Groundwater Well"
"4920","TUNNELWEG","01.06.19",57.87,"Groundwater Well"
"4921","TUNNELWEG","02.06.19",57.83,"Groundwater Well"
"4922","TUNNELWEG","03.06.19",57.78,"Groundwater Well"
"4923","TUNNELWEG","04.06.19",57.8,"Groundwater Well"
"4924","TUNNELWEG","05.06.19",57.74,"Groundwater Well"
"4925","TUNNELWEG","06.06.19",57.73,"Groundwater Well"
