"","Date","mine_water_level"
"3784",2019-01-01,120.72
"3785",2019-01-02,120.74
"3786",2019-01-03,120.77
"3787",2019-01-04,120.76
"3788",2019-01-05,120.71
"3789",2019-01-06,120.72
"3790",2019-01-07,120.72
"3791",2019-01-08,120.63
"3792",2019-01-10,120.67
"3793",2019-01-11,120.67
"3794",2019-01-12,120.66
"3795",2019-01-13,120.58
"3796",2019-01-14,120.57
"3797",2019-01-15,120.65
"3798",2019-01-16,120.6
"3799",2019-01-17,120.52
"3800",2019-01-18,120.63
"3801",2019-01-19,120.63
"3802",2019-01-20,120.59
"3803",2019-01-21,120.66
"3804",2019-01-22,120.58
"3805",2019-01-23,120.48
"3806",2019-01-24,120.57
"3807",2019-01-25,120.61
"3808",2019-01-26,120.57
"3809",2019-01-27,120.43
"3810",2019-01-28,120.45
"3811",2019-01-29,120.57
"3812",2019-01-30,120.45
"3813",2019-01-31,120.49
"3814",2019-02-01,120.42
"3815",2019-02-02,120.46
"3816",2019-02-03,120.61
"3817",2019-02-04,120.68
"3818",2019-02-05,120.65
"3819",2019-02-06,120.62
"3820",2019-02-07,120.52
"3821",2019-02-08,120.54
"3822",2019-02-09,120.46
"3823",2019-02-10,120.45
"3824",2019-02-11,120.53
"3825",2019-02-12,120.66
"3826",2019-02-13,120.65
"3827",2019-02-14,120.63
"3828",2019-02-15,120.59
"3829",2019-02-16,120.54
"3830",2019-02-17,120.51
"3831",2019-02-18,120.48
"3832",2019-02-19,120.47
"3833",2019-02-20,120.49
"3834",2019-02-21,120.51
"3835",2019-02-22,120.54
"3836",2019-02-23,120.56
"3837",2019-02-24,120.53
"3838",2019-02-25,120.53
"3839",2019-02-26,120.49
"3840",2019-02-27,120.45
"3841",2019-02-28,120.38
"3842",2019-03-01,120.33
"3843",2019-03-02,120.39
"3844",2019-03-03,120.36
"3845",2019-03-04,120.29
"3846",2019-03-05,120.34
"3847",2019-03-06,120.33
"3848",2019-03-07,120.27
"3849",2019-03-08,120.32
"3850",2019-03-09,120.32
"3851",2019-03-10,120.31
"3852",2019-03-11,120.31
"3853",2019-03-12,120.33
"3854",2019-03-13,120.27
"3855",2019-03-14,120.27
"3856",2019-03-15,120.26
"3857",2019-03-16,120.24
"3858",2019-03-17,120.18
"3859",2019-03-18,120.21
"3860",2019-03-19,120.23
"3861",2019-03-20,120.22
"3862",2019-03-21,120.2
"3863",2019-03-22,120.16
"3864",2019-03-23,120.12
"3865",2019-03-24,120.1
"3866",2019-03-25,120.05
"3867",2019-03-26,120.06
"3868",2019-03-27,120.04
"3869",2019-03-28,120.02
"3870",2019-03-29,119.99
"3871",2019-03-30,119.94
"3872",2019-03-31,119.91
"3873",2019-04-01,119.9
"3874",2019-04-02,119.84
"3875",2019-04-03,119.79
"3876",2019-04-04,119.76
"3877",2019-04-05,119.77
"3878",2019-04-06,119.75
"3879",2019-04-07,119.72
"3880",2019-04-08,119.72
"3881",2019-04-09,119.71
"3882",2019-04-10,119.69
"3883",2019-04-11,119.7
"3884",2019-04-12,119.69
"3885",2019-04-13,119.67
"3886",2019-04-14,119.65
"3887",2019-04-15,119.64
"3888",2019-04-16,119.59
"3889",2019-04-17,119.58
"3890",2019-04-18,119.59
"3891",2019-04-19,119.56
"3892",2019-04-20,119.56
"3893",2019-04-21,119.5
"3894",2019-04-22,119.41
"3895",2019-04-23,119.33
"3896",2019-04-24,119.31
"3897",2019-04-25,119.35
"3898",2019-04-26,119.38
"3899",2019-04-27,119.37
"3900",2019-04-28,119.37
"3901",2019-04-29,119.4
"3902",2019-04-30,119.38
"3903",2019-05-01,119.33
"3904",2019-05-02,119.28
"3905",2019-05-03,119.27
"3906",2019-05-04,119.24
"3907",2019-05-05,119.29
"3908",2019-05-06,119.29
"3909",2019-05-07,119.26
"3910",2019-05-08,119.16
"3911",2019-05-09,119.09
"3912",2019-05-10,119.15
"3913",2019-05-11,119.16
"3914",2019-05-12,119.28
"3915",2019-05-13,119.31
"3916",2019-05-14,119.26
"3917",2019-05-15,119.19
"3918",2019-05-16,119.13
"3919",2019-05-17,119.05
"3920",2019-05-18,119.03
"3921",2019-05-19,119.02
"3922",2019-05-20,119.03
"3923",2019-05-21,119.02
"3924",2019-05-22,119.05
"3925",2019-05-23,119.04
"3926",2019-05-24,119.03
"3927",2019-05-25,119.04
"3928",2019-05-26,119.03
"3929",2019-05-27,119
"3930",2019-05-28,118.99
"3931",2019-05-29,119.05
"3932",2019-05-30,119.05
"3933",2019-05-31,119.05
"3934",2019-06-01,119.05
"3935",2019-06-02,119.02
"3936",2019-06-03,119
"3937",2019-06-04,119.02
"3938",2019-06-05,118.99
"3939",2019-06-06,118.93
"3940",2019-06-07,118.95
"3941",2019-06-08,118.93
"3942",2019-06-09,119.01
"3943",2019-06-10,118.92
"3944",2019-06-11,118.9
"3945",2019-06-12,118.88
"3946",2019-06-13,118.89
"3947",2019-06-14,118.89
